ID;start;end;code;group;text;code2;R;G;B
1517;3233,09718;3263,812292;Aanvallen;Betrokken;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1517;3233,09718;3263,812292;Aanvallen;Betrokken;c444e99f03fd4b4391b1705b6255b64f;;;;
1517;3233,09718;3263,812292;Aanvallen;Betrokken;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1517;3233,09718;3263,812292;Aanvallen;Betrokken;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1517;3233,09718;3263,812292;Aanvallen;Betrokken;c444e99f03fd4b4391b1705b6255b64f;;;;
1517;3233,09718;3263,812292;Aanvallen;Betrokken;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1517;3233,09718;3263,812292;Aanvallen;;Goal;;;;
1518;3234,09718;3235,09718;Start;;;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Aanvallen NEC;Indribbelen;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar zone;M3 NEC;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Van speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar zone;L4 NEC;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Van speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar zone;M4 NEC;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Naar speler;gAAAAABYrzOVpwR4hkBRLRWokYEEu0m9qFQAssyS37xKGhlicvfYTrDj38_DYpmlTDAoSTQJL7z6RI2a8qLkKhuDpQ8UhpOSug==;;;;
1519;3236,905055;3258,060395;OPB. Indribbelen NEC;Van speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1520;3238,071879;3255,175675;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;Van speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1520;3238,071879;3255,175675;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;Naar zone;L4 NEC;;;;
1520;3238,071879;3255,175675;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;Naar speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1521;3239,001021;3247,255786;M3 NEC;Naar speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1521;3239,001021;3247,255786;M3 NEC;Van speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1521;3239,001021;3247,255786;M3 NEC;Naar zone;L4 NEC;;;;
1522;3242,175675;3262,047515;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;Van speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1522;3242,175675;3262,047515;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;Naar zone;M4 NEC;;;;
1522;3242,175675;3262,047515;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;Naar speler;gAAAAABYrzOVpwR4hkBRLRWokYEEu0m9qFQAssyS37xKGhlicvfYTrDj38_DYpmlTDAoSTQJL7z6RI2a8qLkKhuDpQ8UhpOSug==;;;;
1523;3243,060395;3263,060395;Kans NEC;;Kans;;;;
1523;3243,060395;3263,060395;Kans NEC;Betrokken;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1523;3243,060395;3263,060395;Kans NEC;Betrokken;c444e99f03fd4b4391b1705b6255b64f;;;;
